city,total_orders,total_revenue
BIDAR,51,33374.76
JALGAON,47,33144.0
Rewari,44,32649.29
REWA,49,32632.0
UJJAIN,47,32485.14
KHARAGPUR,55,32410.72
BATHINDA,52,32395.95
Nashik,46,32326.0
SHAHJAHANPUR,49,32076.77
PUDUPAKKAM,45,31727.84
THRIPPUNITHURA,44,31726.0
THANJAVUR,49,31689.0
Kochi,43,31667.58
KHAMMAM,56,31629.57
new delhi,42,31589.43
MUZAFFARNAGAR,45,31517.91
JORHAT,50,31491.09
kolkata,51,31352.29
BHILWARA,42,30971.92
GANGTOK,42,30866.0
JAMNAGAR,52,30711.48
Patna,45,30695.38
MADHURAWADA,51,30601.15
BALLY,50,30410.72
GAUTAM BUDDHA NAGAR,50,30333.77
Guwahati,51,30291.42
Greater Noida,44,30229.0
RAIGARH,50,30198.0
Surat,48,30183.8
PITHORAGARH,44,30175.86
NANDIVARAM GUDUVANCHERI,47,29664.42
ERODE,48,29646.47
Indore,47,29566.29
AKOLA,46,29350.72
KANGRA,43,29348.760000000002
KALADHUNGI,41,29184.96
NANDED WAGHALA,46,29112.24
CHANDRAPUR,40,28921.57
PRAYAGRAJ,40,28567.0
BHIMAVARAM,42,28387.78
MAPUSA,52,28318.0
RISHIKESH,42,28188.33
SAGAR,43,28110.2
YAVATMAL,38,27902.4
BETTIAH,36,27832.89
THIRUVALLA,47,27828.19
TEZPUR,40,27720.04
DURG,41,27624.03
SRIKAKULAM,46,27404.29
SULTANPUR,36,27158.97
SAMBALPUR,36,27101.79
TURA,38,26911.05
SIBSAGAR,38,26825.0
BHIWADI,41,26797.95
MALDA,39,26729.48
CHIKKAMAGALURU,38,26492.19
VIJAPURA,34,26489.48
SOLAN,34,26464.0
Kottayam,42,26275.29
RAE BARELI,35,26209.27
Ulhasnagar,47,25998.12
delhi,42,25735.62
THODUPUZHA,42,25724.27
MADHUBANI,28,25713.29
LATUR,43,25654.86
HOSKOTE,42,25623.0
HAZARIBAGH,36,25433.61
BHAVNAGAR,37,25343.0
OTTAPPALAM,40,25277.0
DARBHANGA,36,25117.85
Nellore,32,25048.0
ORAI,30,24871.91
Kalyan,39,24731.62
RAICHUR,38,24719.91
Kannur,39,24680.57
VALSAD,32,24617.76
SOUTH WEST DELHI,32,24543.0
NAGAON,37,24409.0
Bhopal,34,24386.82
KANCHEEPURAM,50,24258.58
Mysore,37,24169.75
NAVSARI,41,24142.24
CHANGANACHERRY,37,23869.57
KATIHAR,35,23845.18
RAJPUR SONARPUR,41,23827.0
BAHADURGARH,35,23817.43
UNNAO,35,23656.72
SANGAREDDY,30,23482.5
SATNA,30,23186.0
AZAMGARH,34,22990.0
MANDYA,34,22920.33
RUDRAPUR,34,22770.78
BARGARH,27,22738.32
RATNAGIRI,35,22436.0
PURNIA,30,22431.0
Madurai,36,22413.0
CHAMBA,46,22355.52
BARRACKPORE,42,22213.05
KORBA,32,22211.95
Vijayawada,38,21995.0
Allahabad,31,21922.67
ALMORA,34,21891.11
Thiruvananthapuram,43,21855.43
HAMIRPUR,31,21840.0
ADALAJ,32,21838.0
NALGONDA,34,21830.0
EAST DELHI,35,21664.14
ARAKONAM,35,21638.0
DARJEELING,29,21629.71
KOTHAMANGALAM,40,21596.29
SITAPUR,29,21397.24
RAMPUR,31,21323.1
BARABANKI,30,21183.86
UTTARPARA KOTRUNG,29,21130.36
GIRIDIH,30,21079.04
GONDIYA,31,21037.14
MUVATTUPUZHA,30,20832.62
KURUKSHETRA,31,20690.0
Vellore,31,20689.67
JALNA,29,20632.19
NADIAD,31,20627.48
KENDUJHAR,28,20603.0
MOTIHARI,27,20570.81
BALLARI,37,20506.29
VILLUPURAM,31,20467.0
NARASARAOPET,31,20460.82
LAKHIMPUR,35,20453.04
ANAKAPALLE,33,20434.58
Trivandrum,36,20363.29
PANIHATI,32,20316.14
Cuttack,27,20242.0
CHALAKUDY,30,20228.95
PUTTUR,34,20204.0
DHARMAPURI,32,20142.48
Howrah,36,20041.38
Kollam,33,19987.1
SAMASTIPUR,30,19952.0
BALLIA,25,19937.25
CHITRADURGA,34,19922.95
Agra,25,19912.0
Varanasi,33,19844.0
BHUJ,25,19804.0
ULLAL,33,19764.67
KUNNATHUNAD,25,19730.29
SOUTH GOA,38,19701.0
Kozhikode,32,19665.95
PERUMBAVOOR,35,19520.1
AMBIKAPUR,27,19491.0
Chandigarh,29,19403.0
JALPAIGURI,30,19294.0
SRI GANGANAGAR,27,19220.81
MEDINIPUR,25,19205.0
Mysuru,24,19187.0
NORTH GOA,28,19137.0
KARAIKAL,34,19122.0
Rajkot,29,19035.9
MORBI,30,19033.0
Gandhinagar,28,18992.8
SIWAN,26,18957.0
SIKAR,31,18467.39
BARIPADA,26,18405.86
BOISAR,30,18403.34
Mangalore,26,18397.36
KAMAREDDY,27,18332.0
UPPER TADONG,27,18325.95
TALEGAON DABHADE,20,18323.48
WARDHA,32,18298.43
BERHAMPORE,27,18269.0
PONDA,32,17874.14
GHAZIPUR,25,17858.43
GONDA,27,17839.86
Kanpur,27,17820.33
Dombivali,26,17809.57
Guntur,29,17798.0
HARDOI,26,17748.29
SUNDARGARH,25,17744.95
lucknow,25,17708.24
MADANAPALLE,33,17682.0
KARWAR,30,17504.81
TENKASI,31,17453.33
VAISHALI,23,17440.78
Udaipur,24,17404.15
BOLPUR,25,17335.76
THOUBAL,19,17258.0
MAHESANA,26,17254.28
TINSUKIA,27,17202.86
Palakkad,22,17189.96
BULANDSHAHR,25,17158.0
VARKALA,25,17142.0
KASARAGOD,28,17130.0
SIROHI,19,17059.0
CHHINDWARA,26,16995.0
BALESHWAR,26,16950.0
KARUR,31,16935.9
KOTDWARA,20,16933.0
Dombivli East,27,16896.0
DOHAD,25,16885.0
LONI,26,16773.0
NANDYAL,26,16768.15
KALIMPONG,22,16759.0
TIRUVANNAMALAI,30,16624.95
KARKAL,30,16610.0
TRIVANDRUM,23,16578.0
Panchkula,20,16556.0
Port Blair,26,16520.69
CHENGANNUR,30,16471.08
BIJNOR,24,16450.0
ARRAH,23,16430.0
GARHMUKTESHWAR,19,16297.76
Pathankot,26,16259.0
RAMAGUNDAM,23,16218.67
MACHILIPATNAM,24,16196.21
THOOTHUKKUDI,31,16132.0
CHERANALLUR,23,16106.48
CHIRALA,25,16067.0
BHARATPUR,22,16058.94
BASTI,23,15966.0
SITAMARHI,22,15963.68
TUMKUR,23,15952.619999999999
DULIAJAN,23,15948.0
MAUNATH BHANJAN,20,15893.19
Kota,23,15747.0
TADPATRI,18,15557.0
SIRSI,24,15537.0
NAHAN,19,15517.95
NAINITAL,18,15500.24
Jamshedpur,25,15465.39
NAGAPATTINAM,22,15426.380000000001
Warangal,25,15307.0
PILIBHIT,19,15282.43
SHAHDOL,21,15162.29
KOHIMA,22,15146.15
GURDASPUR,24,15092.0
DINDIGUL,24,15038.0
Gorakhpur,21,14996.1
BHANDARA,25,14996.0
BAHRAICH,27,14969.91
GUDUR,24,14935.0
PHAGWARA,20,14933.04
KRISHNAGIRI,26,14927.43
